"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"67",3,3,3,4,2,5,1,1,5,5,4,4
"68",3,5,1,5,2,5,4,2,2,5,3,5
"69",4,2,5,3,2,2,4,1,2,1,1,3
"70",4,4,5,4,4,5,4,5,5,5,1,3
"71",2,2,5,1,1,5,3,1,5,3,1,1
"72",1,3,1,4,1,5,4,1,2,3,1,4
"73",2,2,5,4,2,4,3,3,4,3,1,4
"74",2,1,5,1,4,3,1,1,2,4,1,3
"75",1,3,5,3,1,2,2,1,1,5,4,3
"76",4,5,5,3,2,3,3,5,4,5,1,3
"77",3,3,5,4,1,1,5,5,2,1,1,3
"78",2,2,5,3,5,2,1,1,3,5,5,3
"79",3,4,2,5,1,5,4,3,5,3,1,3
"80",4,3,3,3,5,2,3,1,1,2,2,3
"81",1,4,5,5,1,5,3,5,4,5,4,4
"82",1,2,5,1,2,2,3,1,1,4,1,1
"83",4,3,3,5,2,4,1,3,4,5,1,5
"84",5,3,1,3,4,5,4,1,4,1,1,3
"85",4,4,5,3,5,2,3,3,1,3,3,3
"86",2,3,5,4,5,4,1,5,3,5,5,4
"87",4,4,1,3,2,5,4,1,4,1,1,3
"88",4,4,3,5,4,3,3,5,1,3,2,5
"89",2,2,5,3,2,5,2,1,4,5,2,3
"90",3,4,5,5,1,5,3,5,5,3,4,4
"91",3,4,5,4,2,5,3,2,5,3,3,4
"92",1,2,3,4,1,5,4,2,4,5,3,3
"93",2,4,5,5,1,2,5,5,5,3,5,3
"94",4,1,2,4,1,5,4,1,5,1,1,4
"95",2,4,2,3,2,4,1,1,2,3,5,3
"96",3,5,1,3,5,5,3,1,1,1,2,4
"97",5,2,2,3,5,5,2,1,5,1,1,4
"98",1,2,5,3,1,2,4,5,4,5,1,1
"99",2,2,5,4,1,2,3,5,4,5,1,3
"100",4,3,5,3,5,2,1,1,4,5,2,3
"101",4,2,5,4,5,1,3,5,2,4,1,4
"102",2,3,5,3,1,2,4,1,1,3,1,3
"103",5,1,3,3,5,5,2,1,5,1,1,5
"104",4,2,3,3,5,2,1,1,1,3,3,5
"105",5,1,5,3,5,2,3,1,5,1,1,3
"106",2,1,5,1,5,2,1,1,4,5,4,1
"107",4,4,5,4,5,5,1,1,5,3,2,5
"108",4,1,5,1,2,2,3,3,4,3,1,3
"109",5,3,2,3,5,4,1,1,4,3,5,4
"110",4,4,3,4,1,5,4,1,5,3,3,4
"111",1,2,5,3,4,1,3,1,1,5,5,3
"112",3,3,5,4,5,1,4,1,4,3,3,4
"113",5,1,5,5,2,3,4,1,5,1,5,5
"114",2,4,5,5,2,1,5,3,4,3,2,4
"115",1,5,5,4,1,5,4,2,4,5,5,1
"116",2,5,5,5,1,5,2,5,5,3,5,5
"117",4,1,5,1,2,1,3,1,1,1,1,3
"118",4,1,5,3,2,2,3,1,4,5,1,4
"119",5,1,5,4,5,4,1,1,5,1,1,5
"120",3,4,5,5,5,4,2,1,4,3,5,5
"121",4,2,5,4,1,4,2,5,5,3,1,3
"122",5,4,3,5,5,5,2,5,5,1,1,5
"123",4,2,2,4,1,5,3,5,5,3,1,1
"124",3,4,5,4,1,2,4,1,4,5,1,3
"125",4,2,5,4,2,2,3,1,5,2,1,4
"126",4,3,5,3,2,1,4,1,2,3,1,1
"127",2,2,5,4,2,1,4,3,4,5,1,4
"128",2,5,2,4,2,5,3,2,1,3,2,3
"129",2,4,2,4,1,5,4,3,4,3,3,2
"130",3,2,5,3,2,2,3,2,4,3,1,1
"131",2,4,2,4,1,5,4,1,5,3,5,3
"132",3,1,5,3,1,1,4,1,4,3,4,3
"133",3,2,5,4,1,2,3,4,5,4,1,3
"134",2,5,2,3,1,5,4,3,1,3,1,1
"135",4,1,5,4,2,1,1,1,5,5,1,4
"136",4,4,1,3,1,5,3,1,3,1,1,4
"137",2,2,4,3,1,5,4,5,5,3,1,3
"138",4,1,5,3,1,2,5,1,5,1,1,2
"139",1,5,1,5,1,5,5,2,5,3,1,4
"140",4,1,3,4,2,1,3,1,2,1,1,5
"141",4,2,5,3,4,1,1,1,4,5,1,3
"142",4,5,2,5,1,5,4,4,5,3,2,3
"143",5,1,5,1,5,1,3,1,2,1,1,3
"144",3,2,5,4,2,5,1,1,2,5,2,4
"145",2,1,5,3,2,2,3,5,4,5,1,2
"146",5,5,5,5,5,5,3,5,5,3,3,4
"147",4,1,5,4,5,1,5,3,2,1,1,3
"148",4,4,5,4,2,5,4,5,5,3,1,4
"149",4,2,5,5,2,5,2,1,5,3,5,4
"150",2,2,5,3,1,5,4,5,5,5,1,2
"151",5,1,5,1,5,2,1,1,2,3,1,4
"152",4,5,5,4,5,2,1,1,1,5,4,5
"153",4,3,5,5,2,5,1,5,5,3,1,4
"154",4,1,3,1,5,2,1,1,2,3,1,3
"155",2,5,5,4,2,5,3,5,5,5,2,1
"156",4,2,5,4,5,1,4,5,5,5,1,3
"157",4,4,2,5,2,5,3,1,5,3,4,5
"158",1,3,5,3,1,2,4,2,4,5,2,1
"159",4,2,2,4,1,5,3,1,5,1,3,4
"160",4,5,5,4,1,2,4,4,5,3,1,2
"161",5,2,1,4,2,5,3,1,5,1,1,4
"162",4,1,5,1,5,2,1,1,1,3,1,1
"163",5,4,5,5,5,2,5,5,5,3,3,4
"164",2,4,5,3,1,3,4,1,4,5,3,1
"165",5,3,3,3,5,5,3,5,4,2,1,4
"166",2,2,1,4,1,5,4,1,5,2,1,3
"167",4,2,5,4,1,2,3,2,4,2,1,4
"168",4,2,5,3,5,5,2,2,2,3,1,4
"169",4,1,2,1,1,5,1,1,4,1,1,3
"170",2,5,2,5,1,5,5,5,5,2,5,4
"171",2,3,5,5,1,5,4,5,5,3,1,3
"172",1,3,5,4,1,5,3,5,4,5,4,2
"173",4,2,5,3,1,5,2,1,5,3,2,3
"174",5,1,1,3,5,4,4,1,4,1,1,5
"175",3,3,5,4,5,1,5,1,4,3,1,4
"176",4,2,1,3,1,5,3,1,2,1,1,3
"177",5,2,1,4,5,5,3,1,5,1,2,4
"178",5,1,5,3,5,2,1,1,4,3,1,4
"179",4,2,5,4,2,2,4,1,5,2,1,4
"180",2,4,5,5,1,2,3,2,4,5,2,3
"181",1,3,5,1,1,5,1,1,1,5,1,1
"182",2,2,5,4,1,2,4,5,5,5,1,3
"183",4,5,1,4,5,5,4,2,2,1,1,5
"184",4,4,3,3,4,4,4,1,4,1,1,3
"185",4,2,5,4,2,2,4,5,5,3,1,1
"186",2,4,5,5,1,5,3,3,5,3,4,4
"187",4,4,5,5,1,5,3,5,5,5,5,5
"188",4,5,1,4,2,5,4,1,1,3,1,4
"189",3,2,1,2,1,5,3,1,4,3,1,1
"190",2,3,5,4,1,5,4,2,5,3,1,3
"191",1,2,5,3,1,5,4,4,2,5,1,1
"192",4,4,5,3,4,1,2,2,2,5,1,1
"193",2,4,5,4,5,5,1,3,4,5,5,4
"194",2,4,5,1,5,2,3,3,1,3,1,1
"195",4,3,2,3,2,5,1,1,3,3,5,3
"196",2,4,5,5,1,2,5,3,5,3,4,4
"197",4,3,5,4,5,3,3,1,5,3,5,3
"198",4,1,5,1,5,1,1,1,1,5,1,3
"199",2,2,5,3,1,2,3,1,5,3,1,1
"200",1,4,5,4,1,3,4,5,4,5,4,3
"201",4,2,5,4,2,4,2,2,5,3,1,4
"202",2,4,5,5,1,3,4,5,2,5,1,4
"203",5,2,1,1,5,5,1,1,4,1,1,4
"204",4,2,5,3,5,1,3,5,4,5,1,3
"205",4,2,5,3,2,2,3,1,5,3,5,3
"206",2,2,5,4,1,3,4,5,5,3,1,3
"207",2,3,3,5,1,5,5,5,5,1,2,5
"208",5,2,2,3,2,2,3,1,4,1,1,4
"209",3,4,5,3,5,5,1,1,4,3,1,4
"210",3,2,5,3,2,5,3,1,4,3,1,3
"211",4,2,5,4,2,2,2,1,4,3,1,5
"212",4,2,5,4,1,3,1,2,5,3,1,3
"213",4,5,2,5,2,5,1,1,5,3,5,5
"214",1,2,5,1,1,3,3,2,1,5,1,1
"215",2,3,5,3,1,2,4,1,4,3,1,1
"216",5,2,1,1,5,5,2,1,3,1,1,3
"217",4,2,5,4,2,2,1,5,1,5,1,4
"218",3,2,5,3,2,5,3,5,5,3,1,3
"219",4,4,2,5,2,5,4,5,5,3,5,4
"220",4,5,5,5,4,5,4,5,5,3,4,2
"221",4,2,5,4,5,1,3,1,5,3,5,3
"222",2,1,5,1,1,4,1,1,1,5,1,3
"223",4,2,3,4,4,2,5,1,5,1,1,3
"224",4,1,5,4,5,2,3,1,4,3,4,4
"225",2,2,5,1,4,2,1,5,1,5,1,1
"226",3,4,5,5,2,2,4,5,5,5,1,3
"227",1,3,5,3,1,5,3,3,2,5,5,1
"228",2,4,2,4,1,5,3,5,4,3,1,4
"229",3,2,2,4,1,5,2,2,5,3,1,4
"230",4,2,1,1,1,5,3,1,4,1,1,3
"231",4,5,2,3,5,5,4,1,4,3,1,3
"232",4,3,5,3,5,2,4,1,4,3,1,1
"233",1,4,5,5,2,5,3,3,5,5,5,5
"234",3,5,2,4,2,5,4,1,4,3,4,2
"235",3,2,5,3,2,2,4,5,4,2,1,3
"236",2,2,5,1,2,2,1,2,1,3,1,1
"237",4,3,5,5,5,4,1,3,5,3,5,4
"238",5,4,1,5,1,2,3,1,4,3,1,5
"239",5,4,1,3,5,4,1,1,4,1,2,4
"240",2,4,2,4,1,5,3,3,4,3,3,3
"241",4,3,5,4,2,2,3,1,4,3,1,4
"242",2,3,5,5,1,2,4,1,4,3,5,3
"243",4,2,3,4,1,5,3,1,5,3,1,3
"244",4,5,2,5,1,4,5,5,5,1,2,4
"245",5,1,2,4,4,4,1,1,5,1,3,5
"246",5,5,3,5,5,5,3,4,5,2,1,5
"247",5,2,3,4,5,2,4,1,5,1,1,3
"248",2,4,3,4,1,5,4,2,5,3,1,3
"249",2,4,3,4,2,3,4,1,4,3,5,3
"250",2,4,2,3,5,5,4,1,2,3,3,4
"251",1,1,5,4,1,2,2,5,4,5,5,3
"252",4,3,5,5,1,3,4,1,5,1,2,4
"253",5,2,2,4,2,3,1,1,5,3,1,5
"254",5,2,1,4,2,5,1,1,5,2,2,5
"255",5,3,3,3,5,5,1,1,5,1,1,5
"256",2,1,5,5,2,1,4,3,5,3,5,4
"257",5,1,5,1,5,1,1,1,1,3,1,4
"258",1,4,5,1,1,5,3,2,1,5,2,1
"259",4,2,5,4,5,3,1,5,4,4,1,5
"260",4,3,5,4,5,4,1,1,4,3,5,4
"261",2,3,5,4,1,5,3,5,5,3,1,3
"262",4,2,5,3,5,3,1,1,4,5,1,3
"263",4,1,5,1,5,1,4,1,1,2,1,3
"264",3,3,5,3,5,2,3,1,4,3,3,3
"265",4,1,2,1,5,4,1,1,1,3,1,4
"266",5,1,5,3,5,1,1,1,4,3,1,4
"267",4,4,3,4,4,5,3,5,4,3,1,4
"268",4,3,5,4,2,2,3,1,5,2,3,4
"269",4,4,3,4,5,5,1,2,5,5,2,4
"270",2,2,1,3,1,5,4,3,1,3,1,2
"271",1,5,5,4,2,5,3,5,4,5,5,3
"272",3,4,4,5,1,4,4,5,4,3,1,5
"273",2,2,5,1,1,2,3,2,1,3,1,1
"274",5,3,1,3,5,5,1,1,5,1,1,5
"275",4,2,5,4,2,5,1,3,5,3,1,4
"276",5,2,2,4,5,5,1,4,5,1,1,5
"277",4,2,5,3,5,2,1,1,2,3,1,4
"278",4,2,5,4,1,3,2,1,5,3,2,4
"279",2,4,1,3,1,3,4,1,1,3,5,1
"280",3,4,5,5,1,2,4,5,2,5,1,4
"281",4,3,5,4,4,1,4,1,5,3,5,3
"282",4,4,1,4,1,5,4,1,5,1,1,3
"283",1,5,3,4,1,5,4,1,5,5,5,1
"284",1,2,5,5,1,2,5,3,5,5,3,1
"285",5,2,5,1,5,2,1,1,1,3,1,3
"286",3,4,5,5,5,4,5,1,5,2,4,4
"287",4,2,4,4,2,2,4,5,4,3,1,4
"288",4,3,5,4,4,5,3,1,5,3,2,4
"289",1,4,5,4,2,2,3,5,3,5,4,2
"290",4,2,5,1,4,1,1,1,1,5,2,3
"291",1,5,5,5,1,5,3,2,5,5,5,4
"292",2,4,5,3,1,5,2,3,4,5,1,1
"293",4,3,5,4,5,5,1,5,4,3,1,4
"294",4,2,5,3,2,5,2,2,5,3,1,4
"295",2,3,5,4,2,5,4,5,4,4,1,1
"296",2,4,3,3,1,5,3,2,5,3,1,3
"297",2,3,5,3,1,5,4,2,5,3,1,1
"298",3,2,5,4,4,2,4,2,3,3,1,4
"299",3,2,5,3,1,2,3,5,2,3,1,1
"300",4,4,2,4,1,5,4,1,5,1,1,3
"301",4,1,5,3,2,2,2,1,4,3,1,4
"302",2,3,3,4,2,5,5,2,5,1,1,4
"303",2,5,2,5,1,5,4,2,5,3,5,3
"304",4,4,4,5,1,5,4,5,5,1,2,5
"305",3,3,5,3,1,5,3,5,2,3,1,1
"306",5,1,5,1,5,1,1,1,1,2,1,4
"307",2,3,5,4,5,4,3,1,5,5,5,4
"308",5,2,1,5,1,5,4,1,5,1,1,5
"309",4,1,2,3,5,2,1,1,2,3,1,5
"310",4,5,2,4,2,5,4,1,5,3,3,3
"311",4,3,3,3,1,2,2,1,1,5,2,1
"312",4,2,2,5,1,5,3,2,5,3,1,3
"313",2,4,5,5,2,2,5,5,5,5,1,3
"314",4,4,3,3,1,4,3,1,4,3,4,1
"315",2,1,5,1,5,1,1,1,1,3,2,1
"316",2,4,5,4,5,2,4,5,5,3,3,2
"317",4,3,4,3,5,2,3,1,1,3,1,4
"318",3,1,3,3,1,2,4,1,4,3,1,3
"319",4,3,1,4,2,5,2,1,4,3,5,4
"320",3,4,5,4,1,5,4,5,5,3,1,1
"321",4,2,5,1,5,1,4,5,4,3,1,1
"322",4,2,1,1,5,5,3,1,2,1,1,2
"323",4,3,2,4,1,5,1,5,5,3,1,3
"324",1,4,5,4,1,5,1,5,2,5,5,3
"325",2,1,5,1,2,2,1,1,4,3,3,3
"326",2,2,5,3,5,2,3,1,4,3,3,3
"327",1,4,5,5,5,1,4,5,4,5,5,3
"328",4,1,5,4,2,2,4,5,5,1,1,4
"329",2,3,2,5,1,5,4,1,5,5,3,4
"330",4,2,3,4,5,5,1,1,5,3,4,4
"331",1,2,5,1,1,3,1,1,1,5,3,1
"332",4,4,3,5,5,5,4,1,5,3,1,5
"333",2,1,5,3,1,2,4,1,4,3,1,1
"334",2,4,3,4,1,5,2,2,4,5,5,4
"335",5,5,1,5,2,5,3,3,5,1,1,4
"336",3,3,2,4,1,5,3,2,5,1,1,5
"337",4,2,3,3,5,5,3,1,5,3,5,3
"338",5,1,5,3,5,1,3,1,4,3,1,4
"339",4,1,2,1,1,2,4,2,1,1,1,1
"340",2,3,5,4,2,2,1,1,2,5,5,4
"341",4,2,5,4,5,1,2,3,2,3,5,4
"342",3,5,2,3,2,5,4,2,4,3,1,3
"343",1,3,5,4,1,1,4,4,2,5,5,1
"344",4,2,1,3,1,5,2,1,5,1,1,3
"345",4,5,3,5,1,5,4,2,5,3,4,4
"346",5,5,5,5,5,2,3,3,4,3,5,4
"347",2,2,5,3,5,1,2,4,3,5,5,3
"348",5,5,2,5,5,5,4,1,5,1,1,5
"349",3,3,5,3,1,5,3,3,5,2,1,2
"350",2,3,5,1,5,1,3,1,1,5,1,1
"351",2,4,4,4,1,5,2,4,4,3,3,3
"352",2,2,5,1,5,5,2,3,2,3,1,2
"353",5,3,2,5,5,2,4,1,5,1,1,5
"354",1,4,3,5,1,5,2,1,5,5,5,5
"355",3,5,3,5,5,5,4,1,5,3,5,4
"356",2,5,2,3,1,5,2,1,1,3,1,3
"357",4,4,1,5,1,5,4,1,5,3,5,5
"358",2,5,5,5,1,5,5,5,5,3,4,3
"359",4,2,5,4,2,5,1,3,4,3,3,4
"360",1,5,5,5,4,3,3,5,1,5,5,4
"361",2,4,5,3,2,5,1,4,4,5,5,3
"362",2,4,2,3,5,5,3,2,3,3,3,2
"363",4,3,1,4,1,4,3,1,4,1,1,3
"364",2,2,3,3,1,5,2,1,4,3,1,2
"365",2,2,5,5,1,3,4,5,5,3,5,3
"366",1,5,5,5,1,5,5,5,5,3,4,4
"367",1,4,5,5,2,2,5,5,5,5,4,1
"368",3,5,5,5,1,5,3,4,5,3,5,2
"369",5,2,5,4,5,2,3,1,4,1,1,5
"370",4,2,5,5,1,5,1,3,5,3,2,4
"371",4,4,5,4,5,2,2,1,4,3,5,4
"372",3,5,1,5,1,5,4,5,5,1,5,3
"373",5,1,5,3,5,1,1,1,5,3,1,5
"374",4,2,5,3,2,2,4,1,5,3,1,3
"375",1,2,5,3,1,5,3,2,3,5,1,1
"376",2,1,5,3,2,1,3,1,1,5,1,3
"377",1,5,5,4,1,5,4,3,4,5,5,1
"378",1,4,5,5,1,2,4,1,4,5,5,3
"379",4,3,5,5,1,4,2,1,5,5,2,5
"380",4,3,1,3,5,5,1,2,2,3,1,4
"381",4,4,2,4,2,5,2,1,4,2,1,4
"382",2,1,5,3,2,2,4,5,2,3,1,3
"383",2,2,5,4,2,2,4,2,2,3,1,3
"384",4,2,5,4,5,3,4,5,5,3,1,3
"385",2,2,3,3,1,5,4,5,2,3,1,4
"386",2,2,1,4,1,5,4,1,4,1,1,4
"387",2,2,5,4,1,5,3,5,5,3,1,2
"388",3,5,5,3,5,5,3,5,5,3,2,3
"389",2,4,1,4,1,5,5,1,5,1,1,3
"390",3,2,5,4,2,2,4,1,4,2,1,4
"391",2,4,5,5,1,2,5,4,5,3,1,3
"392",2,3,5,5,1,2,4,5,5,3,4,1
"393",4,3,3,4,5,5,1,1,5,3,5,5
"394",1,5,5,5,1,4,4,5,1,5,1,3
"395",5,2,3,4,5,2,5,3,5,1,1,3
"396",2,4,5,5,1,4,4,5,5,5,5,3
"397",2,5,2,4,2,5,3,2,5,3,5,3
"398",4,1,3,3,5,1,3,1,1,1,1,3
"399",2,1,5,3,1,2,4,1,4,3,4,2
"400",3,1,5,3,1,5,1,1,5,3,1,3
"401",4,2,1,3,2,5,1,1,4,3,1,5
"402",1,4,5,3,2,2,3,2,2,5,5,1
"403",4,2,3,4,2,2,3,2,3,4,1,4
"404",4,4,5,5,1,5,1,2,5,3,5,4
"405",4,1,1,3,2,4,3,1,2,3,1,4
"406",2,2,5,1,2,2,1,2,4,3,1,1
"407",4,2,5,4,2,2,3,1,5,1,5,4
"408",2,2,5,3,1,5,3,1,5,3,5,1
"409",2,4,5,4,1,5,3,4,2,5,4,4
"410",5,2,1,4,1,5,3,3,4,1,1,5
"411",4,4,2,4,5,5,3,2,5,2,1,4
"412",4,1,5,3,1,2,1,1,4,3,2,4
"413",3,3,5,4,5,2,1,5,5,5,5,4
"414",2,3,5,4,5,3,1,2,5,5,5,4
"415",2,4,5,5,2,5,3,1,5,3,5,4
"416",4,5,5,4,5,5,4,1,5,2,5,3
"417",1,5,3,5,1,5,4,2,5,5,5,4
"418",2,5,5,3,2,3,4,5,2,5,1,1
"419",2,4,5,5,2,5,4,1,5,3,5,4
"420",3,3,5,1,5,2,3,1,1,3,1,2
"421",2,3,5,5,5,3,4,5,5,3,3,4
"422",4,3,1,5,2,5,4,1,5,1,5,5
"423",5,3,5,5,5,2,1,1,5,2,1,5
"424",4,4,5,5,5,5,1,5,5,5,5,3
"425",2,4,5,3,1,5,2,5,4,5,1,1
"426",5,3,3,4,4,2,4,1,5,1,1,3
"427",2,2,5,5,2,2,3,5,5,3,5,4
"428",4,3,1,4,1,5,4,1,5,1,1,3
"429",5,4,1,3,5,2,1,1,1,2,1,4
"430",4,1,5,3,2,2,1,3,5,3,1,3
"431",4,4,3,3,2,5,3,1,1,3,1,3
"432",3,5,2,4,1,5,1,1,5,5,5,3
"433",5,2,1,3,4,5,2,4,4,1,1,2
"434",2,2,5,1,5,5,1,1,5,5,4,3
"435",4,3,5,1,5,3,3,1,2,5,1,2
"436",4,3,1,3,5,5,1,2,1,1,1,4
"437",4,2,2,4,2,2,3,1,4,1,5,4
"438",5,2,5,3,5,1,3,5,4,1,1,2
"439",5,4,1,3,5,5,3,1,1,1,1,4
"440",4,3,5,5,1,2,5,2,5,1,1,4
"441",4,2,5,4,5,2,3,1,4,1,1,4
"442",2,3,5,3,5,3,3,1,4,3,4,3
"443",4,4,1,4,1,5,2,1,5,1,5,4
"444",4,4,5,5,4,4,4,2,5,2,2,5
"445",2,3,5,4,1,5,4,1,5,3,1,4
"446",2,4,5,4,2,2,1,2,4,5,5,3
"447",4,3,1,4,1,4,4,1,3,1,1,5
"448",2,4,2,5,1,5,4,5,5,5,1,4
"449",4,5,1,4,2,5,3,1,2,1,4,4
"450",4,2,5,5,5,2,5,1,5,1,5,4
"451",4,3,5,5,5,4,1,1,5,3,5,5
"452",3,4,1,3,1,5,4,1,4,3,1,1
"453",3,2,5,3,2,5,2,3,5,3,5,1
"454",4,3,5,5,1,3,5,5,5,1,1,3
"455",2,5,5,5,1,2,5,5,5,3,1,1
"456",4,2,5,3,2,2,1,5,4,5,1,3
"457",5,3,2,4,5,2,3,1,5,2,3,4
"458",4,2,5,4,2,4,3,2,5,3,1,3
"459",1,5,2,5,1,5,4,1,5,3,5,4
"460",5,1,5,3,5,1,1,1,2,3,4,4
"461",4,4,5,5,2,5,4,5,5,2,4,4
"462",4,4,1,3,2,5,2,1,4,1,2,4
"463",3,5,1,5,1,5,4,1,5,1,5,5
"464",2,3,2,4,1,5,3,1,5,3,4,3
"465",4,2,5,3,5,2,3,2,5,2,4,3
"466",3,2,5,3,2,3,2,1,2,3,1,3
"467",2,4,3,4,1,2,3,1,2,3,5,3
"468",2,4,5,5,1,4,5,2,4,5,1,3
"469",2,1,5,3,1,5,2,2,1,5,1,4
"470",4,1,5,3,1,4,1,5,4,5,1,4
"471",2,5,3,5,1,5,4,5,5,5,5,5
"472",2,5,5,4,1,5,3,5,4,5,1,3
"473",4,2,5,4,1,3,4,1,5,3,1,3
"474",4,1,5,3,5,1,3,1,2,1,1,3
"475",5,1,2,4,2,5,3,1,5,1,1,5
"476",4,2,4,3,2,5,3,2,5,3,1,1
"477",3,2,5,5,2,4,4,5,5,5,1,4
"478",4,2,5,3,5,1,1,1,4,5,4,4
"479",2,4,3,4,1,5,4,1,5,5,1,2
"480",4,2,5,4,2,5,3,4,5,2,5,2
"481",2,4,5,5,5,2,2,1,5,5,5,4
"482",4,2,4,3,5,2,3,5,1,1,1,2
"483",1,3,5,3,1,5,3,5,2,5,1,3
"484",2,4,5,1,2,2,4,5,3,3,1,1
"485",4,4,5,4,2,3,4,2,4,3,1,3
"486",2,5,5,5,1,3,4,3,3,5,1,4
"487",1,5,1,5,1,5,5,1,5,3,1,4
"488",4,5,1,4,2,4,3,1,2,3,5,4
"489",5,2,5,4,5,1,2,1,4,1,1,5
"490",2,2,5,4,2,5,1,5,5,5,4,3
"491",5,5,2,5,2,5,1,1,5,1,4,5
"492",4,4,3,3,2,5,3,1,4,5,2,4
"493",2,3,4,4,1,5,3,1,5,5,5,2
"494",4,1,3,3,1,5,3,2,5,3,1,3
"495",2,1,2,3,1,5,4,2,2,2,1,3
"496",5,2,2,4,5,2,4,1,4,1,1,5
"497",2,2,5,3,1,1,3,1,2,5,3,1
"498",4,2,3,3,4,4,3,3,5,3,1,1
"499",4,3,5,3,2,2,1,1,2,3,5,4
"500",5,5,1,3,1,5,4,1,4,1,1,3
"501",2,4,5,4,1,2,5,4,5,3,1,3
"502",2,4,1,3,1,5,5,2,4,1,1,1
"503",4,1,2,1,5,5,2,1,2,1,1,4
"504",5,4,5,5,2,5,2,2,5,2,5,4
"505",4,2,5,5,2,2,5,5,5,3,3,3
"506",4,2,5,3,5,1,3,3,4,1,1,3
"507",3,5,2,5,1,5,4,1,5,2,4,4
"508",5,3,3,3,5,2,3,1,2,2,1,4
"509",2,4,5,5,1,5,5,5,5,1,1,3
"510",4,1,1,3,1,5,1,1,2,1,1,4
"511",5,1,1,3,2,4,3,1,4,1,1,4
"512",2,4,5,5,1,2,5,3,5,3,1,3
"513",5,2,2,3,2,4,3,1,4,1,1,4
"514",5,2,1,4,2,5,3,1,5,3,1,5
"515",3,2,5,3,2,4,3,1,4,3,2,3
